id,empty_slots,free_bikes,name,timestamp
087daffc8083a52fc3d524a1a0ed790c,0.0,1,Touring Club Suisse,2024-12-13T16:59:50.598224Z
0bc8091a07e3c2f191743cb4b387ae45,0.0,1,Stadt- und Regionalbibliothek Uster,2024-12-13T16:59:50.597992Z
0c4b106d882f0db5d304f67ead0a2006,0.0,1,Saastal Tourismus AG,2024-12-13T16:59:50.597719Z
0c8b1ee7818bc1c303614eeefbaeaf86,0.0,1,Pharmacie de la Chapelle,2024-12-13T16:59:50.597629Z
0d0817bd8b254bb34ae7cc45cc70ff32,1.0,0,Confiserie Brändli,2024-12-13T16:59:50.596192Z
0d0b17be4d57934fd6182dc473ee77cd,0.0,1,Velostation Bern Welle7,2024-12-13T16:59:50.598399Z
0d10a5581be4df12ed6bbbd63c7e70a4,1.0,0,169 West & Weststrasse GmbH,2024-12-13T16:59:50.595365Z
0dca4122be55821f67e4528c4d773d1f,0.0,1,Volg Muttenz,2024-12-13T16:59:50.598481Z
0ddbddd29db138ceea06634c810b7d1d,0.0,1,Hôtel Tulip Inn Lausanne,2024-12-13T16:59:50.596783Z
0f36e9559c30fb0eadd27dc82b34f2c6,0.0,1,La Recyclerie (attention: pas de transport d'enfant),2024-12-13T16:59:50.597044Z
0fb97418fddffd79fc4de286f0130e11,1.0,0,PH Bern,2024-12-13T16:59:50.597611Z
1126a97f0502c396bf134a04131940b0,0.0,1,Unik Playground,2024-12-13T16:59:50.598277Z
11a0422070a9b8b4b8d1f7ca63e10a60,0.0,1,Bio26,2024-12-13T16:59:50.595784Z
11b88da0582a795c0ba2e70335242b2a,0.0,1,Gleis 5 Kloten,2024-12-13T16:59:50.596562Z
1234f4ae1ac2d25f95522cbf5f8e26d5,0.0,1,L'Epicerie Vrac,2024-12-13T16:59:50.596974Z
1235978113e594ea4f611f3c2d3a04ee,0.0,1,L'Aubier Le Café-Hôtel,2024-12-13T16:59:50.596956Z
13761725b6494fb65ce0015316d527e0,0.0,1,Rauke & LOK.al,2024-12-13T16:59:50.597693Z
14b6af8c91d8275aabda0fc17d3f79e4,0.0,1,Ultimo Bacio,2024-12-13T16:59:50.598259Z
1520ff7bc75228ed8c3a2c1f7b0b4918,0.0,1,Analogbar / Vinyl / Kaffe,2024-12-13T16:59:50.595490Z
159613316681d0adc93f244024624625,0.0,0,John Baker Helvetiaplatz,2024-12-13T16:59:50.596817Z
159beeece5bbe506c4ccf3f9a2433d13,0.0,1,Bourbaki,2024-12-13T16:59:50.595863Z
17a2a74ee10d38a3b2608eeabb3ae446,0.0,1,Café Saint Pierre,2024-12-13T16:59:50.596053Z
18371f29d4e720f976e2dd8bc448a2cc,0.0,1,Parkhotel Emmaus,2024-12-13T16:59:50.597541Z
186cb747ea484159ac2a4be8007015b7,0.0,1,Tandem Riviera,2024-12-13T16:59:50.598044Z
1952e7598b6912b3d654e28192403760,0.0,1,Maison du Vrac,2024-12-13T16:59:50.597210Z
1ac9fb236036d5ca45f3cd993c4c6489,0.0,1,TCS Camping Flaach am Rhein,2024-12-13T16:59:50.598081Z
1afdd43b93ffeec2c3f22721e5b5b1ca,0.0,1,eZee Onex,2024-12-13T16:59:50.596394Z
1ba312cd66808ad6d78f77e6f820d940,0.0,1,Kunstmuseum,2024-12-13T16:59:50.596947Z
1cb9dee4741873664c8b410ce0cffad3,0.0,1,Velociped,2024-12-13T16:59:50.598347Z
1dbf94c53db72d8d70cae0f9f801f61a,1.0,0,Barbière,2024-12-13T16:59:50.595640Z
1e5f9b5289d0c3d44d8e0582cf52f539,0.0,1,Velocité Valais,2024-12-13T16:59:50.598365Z
1f57cfbf44bea90c51ece8f84942538e,0.0,1,Herti Einkaufszenter,2024-12-13T16:59:50.596647Z
2059d928d33e0921e458d44627c4c2b5,0.0,1,Hôtel de Ville Bussigny,2024-12-13T16:59:50.596735Z
2111d9555bf7cea529640745c1ba393a,0.0,1,L'Espace chocolat,2024-12-13T16:59:50.596983Z
221bef45ead6240e9cb0978b04b7356e,0.0,1,Le NID,2024-12-13T16:59:50.597125Z
222afaceb74bc632a33ade9b113bb47a,0.0,1,Bibliothek Agnesenschütte,2024-12-13T16:59:50.595702Z
238c9b18fc462880d4517f8f36f18304,0.0,1,Basel Backpack,2024-12-13T16:59:50.595657Z
24a3399f5cb854b8cbd207fb8c2e2539,0.0,0,Siedlung Schwamendingen Carvelobox,2024-12-13T16:59:50.597946Z
259a0c0c101a84d9f7938e8a7989b3ac,0.0,2,Siedlung Birkenhof Carvelobox,2024-12-13T16:59:50.597763Z
25da29eb36914b290eb05ea457ae8cdc,0.0,1,Cyclo Café,2024-12-13T16:59:50.596253Z
268971c41804a96ef676dc14b38e56e3,0.0,1,Office de Tourisme,2024-12-13T16:59:50.597496Z
271873c66b1982ac974ab7484a89bcb3,0.0,1,Aux Délices de la Grand-Cour,2024-12-13T16:59:50.595560Z
273fd5c876f4d8e7bd11581a3ea2eca1,0.0,1,Pharmacie Medbase Lancy Pont-Rouge,2024-12-13T16:59:50.597639Z
2837da5989433259a5c22f05a723deab,0.0,1,L'Organic,2024-12-13T16:59:50.596991Z
28947649daef3e86c4617c6e55edffc1,0.0,1,TopShop Echallens,2024-12-13T16:59:50.598215Z
28ad84f5c48a01b3b9f147531cf69d20,0.0,1,Restaurant Libelle,2024-12-13T16:59:50.597701Z
29722fc317047087db5a16b6ea02c2e6,0.0,1,Laden im Murifeld,2024-12-13T16:59:50.597053Z
2985283b6426db256450337f89c2bfc2,1.0,0,Bibliothek Köniz,2024-12-13T16:59:50.595737Z
2a32bdd7b08891aa4ba1ab54215f82b0,1.0,0,Cinewil,2024-12-13T16:59:50.596148Z
2b5b280c4cf2762e4f200f57bff58534,0.0,1,Pro Velo Bern,2024-12-13T16:59:50.597657Z
2c5ce29717acc14c56117aefdfc962e0,0.0,1,Corde Coffee Coutance,2024-12-13T16:59:50.596227Z
2cf34e48276550619441c4fb1844397a,0.0,1,GRIP Climbing Biel,2024-12-13T16:59:50.596605Z
